designation,l,b,dl,db,ra,dec,dra,ddec
SSTGLMA G065.1469-00.0381,65.146968,-0.038128,0.3,0.3,298.926706,28.303876,0.3,0.3
SSTGLMA G065.1518-00.8346,65.151873,-0.8346,0.3,0.3,299.70028,27.893112,0.3,0.3
SSTGLMA G065.1537-00.8975,65.153741,-0.897519,0.3,0.3,299.762016,27.86174,0.3,0.3
SSTGLMA G065.1567+00.7708,65.156729,0.770831,0.3,0.3,298.143515,28.729238,0.3,0.3
SSTGLMA G065.1577-00.1821,65.157732,-0.182103,0.3,0.3,299.072803,28.238387,0.3,0.3
SSTGLMA G065.1577-01.0659,65.157739,-1.065936,0.3,0.3,299.926496,27.776776,0.3,0.3
SSTGLMA G065.1588-00.4458,65.158864,-0.445847,0.3,0.3,299.328987,28.102156,0.3,0.3
SSTGLMA G065.1609-00.0431,65.160957,-0.043158,0.3,0.3,298.939827,28.313232,0.3,0.3
SSTGLMA G065.1619+00.1189,65.161954,0.118933,0.3,0.3,298.782838,28.398015,0.3,0.3
SSTGLMA G065.1651+00.1096,65.165124,0.109603,0.3,0.3,298.793779,28.395902,0.3,0.3
SSTGLMA G065.1666+00.0556,65.166671,0.055667,0.3,0.3,298.847147,28.369314,0.3,0.3
SSTGLMA G065.1678+01.3572,65.167876,1.357197,0.3,0.3,297.57422,29.038224,0.3,0.3
SSTGLMA G065.1693+01.1398,65.169323,1.139831,0.3,0.3,297.788904,28.928761,0.3,0.3
SSTGLMA G065.1809-00.7693,65.180903,-0.769344,0.3,0.3,299.654555,27.952007,0.3,0.3
SSTGLMA G065.1835+00.1691,65.183507,0.169161,0.3,0.3,298.746628,28.442436,0.3,0.3
SSTGLMA G065.1872+02.0125,65.187269,2.012542,0.3,0.3,296.937925,29.38668,0.3,0.3
SSTGLMA G065.1892-00.6939,65.189266,-0.693958,0.3,0.3,299.586761,27.998571,0.3,0.3
SSTGLMA G065.1924+00.3347,65.192414,0.334711,0.3,0.3,298.590564,28.535558,0.3,0.3
SSTGLMA G065.1978-00.1896,65.197835,-0.189669,0.3,0.3,299.103789,28.268727,0.3,0.3
SSTGLMA G065.2024+01.2514,65.202462,1.251486,0.3,0.3,297.698411,29.014182,0.3,0.3
SSTGLMA G065.2025+00.8191,65.202506,0.819153,0.3,0.3,298.12295,28.79331,0.3,0.3
SSTGLMA G065.2094+00.0396,65.209451,0.039644,0.3,0.3,298.887907,28.397613,0.3,0.3
SSTGLMA G065.2126+00.5381,65.212606,0.538169,0.3,0.3,298.403807,28.657685,0.3,0.3
SSTGLMA G065.2185-00.9934,65.218586,-0.993478,0.3,0.3,299.892899,27.866601,0.3,0.3
SSTGLMA G065.2244+00.7591,65.224465,0.759108,0.3,0.3,298.194616,28.781371,0.3,0.3
SSTGLMA G065.2246-00.0284,65.224676,-0.028492,0.3,0.3,298.963112,28.375323,0.3,0.3
SSTGLMA G065.2250+00.8372,65.225028,0.837231,0.3,0.3,298.118405,28.821912,0.3,0.3
SSTGLMA G065.2255+00.9484,65.225546,0.948417,0.3,0.3,298.009672,28.879293,0.3,0.3
SSTGLMA G065.2297-00.1613,65.22971,-0.161319,0.3,0.3,299.095083,28.31069,0.3,0.3
SSTGLMA G065.2300+00.2690,65.23003,0.269092,0.3,0.3,298.676637,28.533904,0.3,0.3
SSTGLMA G065.2301-00.3965,65.230179,-0.396575,0.3,0.3,299.323436,28.188697,0.3,0.3
SSTGLMA G065.2316-00.0326,65.231671,-0.032678,0.3,0.3,298.971303,28.379133,0.3,0.3
SSTGLMA G065.2325+02.2196,65.232581,2.219656,0.3,0.3,296.758531,29.530026,0.3,0.3
SSTGLMA G065.2386+00.7127,65.238618,0.712706,0.3,0.3,298.248338,28.769703,0.3,0.3
SSTGLMA G065.2425-00.0286,65.242529,-0.028611,0.3,0.3,298.97375,28.390526,0.3,0.3
SSTGLMA G065.2436+01.1324,65.243652,1.132422,0.3,0.3,297.839526,28.988891,0.3,0.3
SSTGLMA G065.2441-00.0877,65.244176,-0.087775,0.3,0.3,299.032208,28.36124,0.3,0.3
SSTGLMA G065.2444+00.0055,65.24444,0.005542,0.3,0.3,298.941677,28.409868,0.3,0.3
SSTGLMA G065.2458+00.3518,65.245851,0.351869,0.3,0.3,298.605218,28.590185,0.3,0.3
SSTGLMA G065.2475+00.3511,65.247546,0.351192,0.3,0.3,298.606875,28.591288,0.3,0.3
SSTGLMA G065.2479-00.8643,65.247982,-0.864336,0.3,0.3,299.785937,27.95938,0.3,0.3
SSTGLMA G065.2484+00.0840,65.248413,0.084011,0.3,0.3,298.867697,28.453921,0.3,0.3
SSTGLMA G065.2498+00.2231,65.249869,0.223108,0.3,0.3,298.733117,28.52713,0.3,0.3
SSTGLMA G065.2499-00.3973,65.249944,-0.397328,0.3,0.3,299.335852,28.205173,0.3,0.3
SSTGLMA G065.2500-01.0519,65.25006,-1.051964,0.3,0.3,299.967891,27.862655,0.3,0.3
SSTGLMA G065.2510-00.0073,65.25101,-0.007336,0.3,0.3,298.95807,28.40881,0.3,0.3
SSTGLMA G065.2523+01.0957,65.252351,1.095722,0.3,0.3,297.880676,28.977631,0.3,0.3
SSTGLMA G065.2542+00.4064,65.254288,0.406436,0.3,0.3,298.556926,28.625559,0.3,0.3
SSTGLMA G065.2555-00.0884,65.255593,-0.088419,0.3,0.3,299.039568,28.370664,0.3,0.3
