SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax
104370,293.112629,19.745756,55.084607,0.283711,1825490877533175424,1825490877533175424,1.0447171581311063
104355,293.086946,19.828465,55.145383,0.344794,1825492565501012608,1825492565501012608,2.071609751764833
104487,293.30544,19.908849,55.315041,0.203714,1825499574872404096,1825499574872404096,-0.222278853
104477,293.285113,19.908206,55.305235,0.220131,1825499677951626880,1825499677951626880,3.465561606895437
104513,293.334298,19.919947,55.337879,0.185336,1825499918469822848,1825499918469822848,1.4167014458307279
104466,293.274499,19.97838,55.361835,0.262797,1825501288533104768,1825501288533104768,1.1746808549294838
104361,293.094184,20.006457,55.304566,0.424728,1825503698044992256,1825503698044992256,0.7479644451423534
104435,293.220464,19.978453,55.337351,0.307289,1825503904201830528,1825503904201830528,0.9140865096130733
104959,294.001999,19.561281,55.329486,-0.538219,1825508160484643072,1825508160484643072,0.21437679402642182
104840,293.790504,19.623063,55.286474,-0.334092,1825511596457388160,1825511596457388160,0.6214441197693248
104844,293.801859,19.681549,55.342782,-0.315,1825512391057264768,1825512391057264768,0.28354197503954587
104938,293.964218,19.814864,55.533616,-0.383611,1825520706114520320,1825520706114520320,
104873,293.849462,19.83507,55.498712,-0.279475,1825527573735989504,1825527573735989504,0.5311544835049399
104755,293.670831,19.772527,55.362365,-0.162994,1825528570169600896,1825528570169600896,-1.497126399
104684,293.58684,19.783519,55.333615,-0.088556,1825529360443549952,1825529360443549952,0.9895225976195666
104737,293.649706,19.848911,55.419493,-0.108533,1825530047638930688,1825530047638930688,1.2072190029697702
104879,293.860228,19.886484,55.548558,-0.263306,1825533930289542656,1825533930289542656,0.13138750884970055
104833,293.781532,19.904473,55.528285,-0.1899,1825537091386144128,1825537091386144128,0.036684182
104829,293.772506,19.911838,55.530596,-0.178903,1825537847300380416,1825537847300380416,-0.510903462
104823,293.767081,19.939792,55.552546,-0.160858,1825537950379589376,1825537950379589376,-0.707048758
104812,293.750418,19.931012,55.537259,-0.151436,1825538122178267264,1825538122178267264,-0.691637896
104887,293.887326,20.080822,55.730726,-0.190981,1825540974037609344,1825540974037609344,0.9078238314246684
105181,294.377017,19.92994,55.823583,-0.666244,1825543967658858880,1825543967658858880,0.45203817049445355
105081,294.204917,19.92185,55.73743,-0.52905,1825546166682458624,1825546166682458624,0.082946594
105030,294.126847,19.980978,55.75321,-0.436139,1825547163089081728,1825547163089081728,-2.679811736
105045,294.142191,19.977997,55.757646,-0.450181,1825547472352527744,1825547472352527744,0.695145395
105256,294.485707,20.124265,56.043036,-0.660147,1825553687142291456,1825553687142291456,-0.572708805
105218,294.429798,20.18713,56.072144,-0.5836,1825557814634433792,1825557814634433792,-1.066231255
105052,294.149021,20.126279,55.890201,-0.383408,1825562655033757312,1825562655033757312,-10.07318279
104967,294.017796,20.140359,55.842397,-0.268983,1825564927078400384,1825564927078400384,-4.002456264
105014,294.1147,20.188742,55.928999,-0.324803,1825566194086779648,1825566194086779648,-0.067745583
105000,294.088619,20.191184,55.919188,-0.302244,1825566988685158656,1825566988685158656,0.6476902052636213
105130,294.289696,20.161545,55.985489,-0.481422,1825568156916699648,1825568156916699648,-0.385058668
105151,294.326848,20.344926,56.162502,-0.422161,1825574852742698624,1825574852742698624,
104646,293.532047,19.87872,55.391871,0.002692,1825577674556229760,1825577674556229760,-0.006297697
104621,293.497722,19.877355,55.375029,0.030264,1825577807675138560,1825577807675138560,
104617,293.493565,19.968412,55.452782,0.077814,1825581759045786240,1825581759045786240,-0.486079663
104841,293.792331,20.040709,55.652271,-0.132533,1825585916575313024,1825585916575313024,
104814,293.758433,20.116314,55.702864,-0.067956,1825588802794323328,1825588802794323328,-0.060943177
104774,293.706383,20.172663,55.728369,0.002133,1825592960322621184,1825592960322621184,-3.496836602
104766,293.696488,20.201757,55.749289,0.024383,1825593269561196800,1825593269561196800,-1.00151831
104595,293.451908,20.076642,55.528493,0.164494,1825596499374440320,1825596499374440320,0.25934995182253573
104589,293.440046,20.104634,55.547585,0.1878,1825597431407043328,1825597431407043328,0.17265360621403042
104458,293.268554,20.068244,55.437797,0.311136,1825598702717398528,1825598702717398528,0.16549367944461985
104698,293.597503,20.303054,55.792767,0.154747,1825606532420884096,1825606532420884096,
104913,293.925575,20.264245,55.908425,-0.133047,1825615156714711680,1825615156714711680,2.6320879483789987
104886,293.881183,20.312457,55.930269,-0.073206,1825618493928502400,1825618493928502400,
104922,293.930766,20.360867,55.995189,-0.09025,1825619043683379200,1825619043683379200,0.6298289073770518
104984,294.059863,20.333711,56.030459,-0.209181,1825621551945292928,1825621551945292928,
104979,294.052217,20.351488,56.042484,-0.194253,1825621616346406144,1825621616346406144,0.3795215222971512
105067,294.177834,20.407538,56.148866,-0.269689,1825622956376863744,1825622956376863744,
105011,294.111366,20.421796,56.130905,-0.208361,1825623922766536704,1825623922766536704,0.3508762172411405
104933,293.953862,20.391504,56.032491,-0.094239,1825625812551832960,1825625812551832960,-0.046677767
104943,293.973655,20.468032,56.108361,-0.073158,1825626735947938688,1825626735947938688,-0.049815868
104995,294.077492,20.511626,56.193839,-0.136836,1825628557014549888,1825628557014549888,2.196411210503148
104884,293.874868,20.39676,56.001033,-0.027006,1825631894221691904,1825631894221691904,
104872,293.849255,20.427064,56.015827,0.008711,1825632169097012224,1825632169097012224,-0.325447764
104718,293.625356,20.483808,55.963483,0.219633,1825635639433368704,1825635639433368704,-0.139065538
104819,293.762385,20.488406,56.029847,0.109661,1825636322314787712,1825636322314787712,0.1779433599932768
104929,293.936561,20.505681,56.124316,-0.024472,1825638761847632640,1825638761847632640,0.4984521981616824
104921,293.929521,20.509262,56.124233,-0.016969,1825638830567112576,1825638830567112576,0.880938759
104920,293.929221,20.514342,56.128533,-0.01425,1825638830576204544,1825638830576204544,0.9013836527012927
104923,293.931461,20.509804,56.125591,-0.018292,1825638834893124480,1825638834893124480,0.2286189893634069
104890,293.896082,20.547623,56.142494,0.029061,1825639861368329088,1825639861368329088,0.733083874
104992,294.072827,20.584458,56.255291,-0.0975,1825640823430064512,1825640823430064512,0.2883668951906503
104883,293.873915,20.598409,56.176758,0.071908,1825643297333170304,1825643297333170304,0.40062058502418363
105622,294.909379,19.932617,56.071523,-1.101011,1825722084217445760,1825722084217445760,-0.957029942
105456,294.711753,20.123853,56.14679,-0.845311,1825740745877497344,1825740745877497344,0.080480669
105567,294.823528,20.270573,56.326142,-0.864575,1825749365851840384,1825749365851840384,0.045846875
105637,294.926991,20.366263,56.457202,-0.901964,1825751599235478272,1825751599235478272,-0.124373518
105686,295.041057,20.438779,56.572989,-0.959281,1825775964631731328,1825775964631731328,-13.17115272
105352,294.611183,20.129206,56.105102,-0.760411,1825928277003715968,1825928277003715968,-0.273588967
105344,294.605975,20.19045,56.156077,-0.726108,1825929827484656896,1825929827484656896,-0.024212607
105357,294.620224,20.300436,56.258484,-0.6838,1825934981448549248,1825934981448549248,0.261047188
105366,294.625519,20.393964,56.342422,-0.642236,1825936665076880640,1825936665076880640,-0.124570155
105550,294.81022,20.533376,56.548869,-0.724492,1825945358109457152,1825945358109457152,0.15691191944086894
105274,294.521465,20.374074,56.277252,-0.566986,1825948068214823168,1825948068214823168,
105291,294.552104,20.381572,56.297867,-0.588344,1825948141231416192,1825948141231416192,
105277,294.528898,20.414517,56.315921,-0.553236,1825948480532168576,1825948480532168576,
105131,294.290268,20.448772,56.236323,-0.341475,1825951749002189184,1825951749002189184,0.20132965207678385
105359,294.62222,20.437591,56.378921,-0.618136,1825954596565659136,1825954596565659136,
105331,294.597416,20.546483,56.462413,-0.544467,1825956520711596800,1825956520711596800,-0.230999485
105428,294.689969,20.569893,56.525345,-0.608481,1825957276625894400,1825957276625894400,1.0310974398164727
105508,294.752518,20.595193,56.576149,-0.647058,1825957757659081472,1825957757659081472,0.10934050220114942
105410,294.663105,20.570935,56.513903,-0.586058,1825957895098818816,1825957895098818816,0.3803976289370663
105385,294.646545,20.589731,56.52267,-0.563325,1825958277349705216,1825958277349705216,
105265,294.495439,20.553186,56.421439,-0.457956,1825959338210073984,1825959338210073984,-0.484130297
105343,294.605535,20.594537,56.508019,-0.527517,1825961159276282112,1825961159276282112,0.46058266815343923
105348,294.608806,20.587678,56.503544,-0.53355,1825961159276283392,1825961159276283392,
105340,294.604074,20.634199,56.54191,-0.506867,1825961575906995712,1825961575906995712,0.2000314355393618
105412,294.666963,20.640174,56.576001,-0.555214,1825961747705652352,1825961747705652352,0.5271702239944774
105364,294.623843,20.679729,56.590661,-0.500647,1825962842901314048,1825962842901314048,-4.442695664
105752,295.206858,20.787419,56.952856,-0.922236,1825976380642504576,1825976380642504576,
105462,294.717882,20.646799,56.605173,-0.593469,1825982324872918400,1825982324872918400,3.3132211644010656
105153,294.329303,20.520635,56.316891,-0.338231,1826000814731203072,1826000814731203072,0.3607958627066355
105148,294.32328,20.599658,56.38306,-0.294664,1826002086041120128,1826002086041120128,0.5211710833824917
105138,294.312244,20.625964,56.400955,-0.272789,1826002738876175104,1826002738876175104,0.4703382521616652
105059,294.160361,20.553161,56.267963,-0.184306,1826003353034682624,1826003353034682624,0.27525990185038857
105057,294.155808,20.562516,56.274046,-0.176019,1826003421754156672,1826003421754156672,0.3385854836563558
105033,294.129602,20.549893,56.251052,-0.160764,1826004040229433600,1826004040229433600,0.5880196946502176
105025,294.123984,20.545276,56.244455,-0.158425,1826004044536241920,1826004044536241920,0.5518214649167485
105026,294.124918,20.550411,56.249364,-0.156683,1826004044546654720,1826004044546654720,0.2619697071970205
105029,294.126301,20.551497,56.250944,-0.157283,1826004044546655616,1826004044546655616,0.3557246483694383
105049,294.146976,20.564751,56.27196,-0.167711,1826004181977144576,1826004181977144576,0.528577637
105132,294.299312,20.625027,56.394219,-0.262689,1826005315856565376,1826005315856565376,0.27196436114173117
105136,294.311414,20.635626,56.409003,-0.267386,1826005723857495552,1826005723857495552,
105248,294.469454,20.694572,56.532782,-0.367486,1826008408222684032,1826008408222684032,-1.203066398
105191,294.388028,20.677477,56.480576,-0.309436,1826008854898173440,1826008854898173440,0.9943680813125474
104971,294.02977,20.635621,56.280308,-0.037367,1826017307395882880,1826017307395882880,18.46559539698624
105111,294.25019,20.747635,56.478718,-0.162667,1826019059740945024,1826019059740945024,0.10845004179342252
105146,294.322148,20.899462,56.644046,-0.147114,1826028366926923136,1826028366926923136,1.186336664585625
105278,294.529354,20.872449,56.715284,-0.329136,1826038541716408448,1826038541716408448,0.5417740073135114
105233,294.453036,21.047253,56.832744,-0.181356,1826054892646402176,1826054892646402176,-1.031740393
105267,294.496888,21.097858,56.896907,-0.192236,1826055442394299392,1826055442394299392,0.45603534374167415
105210,294.42314,21.101644,56.866505,-0.130397,1826058225541445376,1826058225541445376,
105306,294.569921,21.120351,56.949913,-0.240592,1826061249198533120,1826061249198533120,0.4808789010003501
105349,294.609997,21.172495,57.013689,-0.247583,1826061867673853184,1826061867673853184,
105500,294.74609,21.195393,57.095949,-0.346883,1826062868412040576,1826062868412040576,-0.020812294
105296,294.559843,21.195193,57.010528,-0.195697,1826065063129486208,1826065063129486208,2.3924929640877917
105362,294.622903,21.272573,57.106793,-0.208956,1826066952915425408,1826066952915425408,
105314,294.578903,21.252425,57.069118,-0.183111,1826066991580805632,1826066991580805632,0.059973453
105373,294.636792,21.278594,57.118391,-0.217278,1826067330866249728,1826067330866249728,0.11919797647498159
105413,294.667659,21.309574,57.1595,-0.227125,1826067502671379456,1826067502671379456,-0.607235097
105891,295.479619,21.035176,57.294268,-1.021108,1826079837811497088,1826079837811497088,0.4681316476154224
105762,295.234874,21.055462,57.198864,-0.812572,1826089600269141248,1826089600269141248,0.1437037289049043
105692,295.048777,20.983767,57.050754,-0.696883,1826090905956450176,1826090905956450176,0.1278230055569544
105903,295.521334,21.299627,57.54327,-0.923828,1826122551278126336,1826122551278126336,1.0535054128973644
106047,295.707846,21.597147,57.887762,-0.926867,1826137635203265920,1826137635203265920,0.2622508368123141
105696,295.0583,21.256484,57.292403,-0.570128,1826143334606055296,1826143334606055296,0.014294356973263596
105688,295.045285,21.426487,57.434325,-0.475747,1826154535881316864,1826154535881316864,0.1561611297930038
105619,294.900438,21.425584,57.367102,-0.358858,1826160892432910464,1826160892432910464,0.30877427784290257
105443,294.701059,21.352408,57.212092,-0.233192,1826161682706662272,1826161682706662272,0.6781373497272014
105440,294.697187,21.348896,57.207262,-0.231775,1826161682709772032,1826161682709772032,0.3506767723412847
105531,294.782438,21.393781,57.285366,-0.278861,1826163469413183104,1826163469413183104,-0.592745219
105533,294.78948,21.447481,57.335351,-0.258167,1826163984813171840,1826163984813171840,2.484982734353286
105548,294.809993,21.484489,57.376963,-0.256592,1826164500209260672,1826164500209260672,-1.786913582
105682,295.026198,21.537929,57.522524,-0.405347,1826169108716401024,1826169108716401024,0.42156995701226146
105633,294.920788,21.614607,57.540949,-0.282267,1826173472403323648,1826173472403323648,0.0316546
105669,294.986371,21.651505,57.603092,-0.317144,1826174056527270528,1826174056527270528,-7.579640034
105641,294.941208,21.64928,57.580475,-0.281711,1826174189656913408,1826174189656913408,-0.441093042
105879,295.451827,21.742073,57.895541,-0.648386,1826190205605549696,1826190205605549696,0.9747690826054889
105857,295.42951,21.785352,57.92287,-0.608942,1826191270757199360,1826191270757199360,0.7581237789509694
105809,295.310939,21.928635,57.992897,-0.442397,1826207969590303744,1826207969590303744,1.6170616635532724
105836,295.378193,21.947274,58.039967,-0.487383,1826208240158876672,1826208240158876672,4.611292051760464
